"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000053898.13",17743.1137911311,1.24957753743014,0.34711525726613,3.59989228728168,0.000318349025116082,0.0517511549999094,"Ech1","51798"
"ENSMUSG00000017737.3",150.211298968133,-2.91703399557244,0.810478083386036,-3.59915222307503,0.000319256277718554,0.0517511549999094,"Mmp9","17395"
"ENSMUSG00000032122.16",1625.20591877952,-1.95185646870273,0.543529012682505,-3.59108055533161,0.000329309824567938,0.0527313993615362,"Slc37a2","56857"
"ENSMUSG00000112489.2",417.941805945555,1.85527239961406,0.517167767977239,3.58737051009666,0.000334029522726461,0.0527313993615362,"9230116L04Rik","321017"
"ENSMUSG00000070644.14",172.738188179469,3.62058440601885,1.00927304637914,3.58731903027435,0.000334095455300124,0.0527313993615362,"Etnk2","214253"
"ENSMUSG00000034472.14",684.374921569801,1.48190861263495,0.414181192933855,3.57792347387346,0.000346334812924435,0.0535880040739697,"Rasd2","75141"
"ENSMUSG00000021200.15",1008.32049799035,-3.47723282865471,0.971859522836242,-3.57791712376998,0.000346343225083795,0.0535880040739697,"Asb2","65256"
"ENSMUSG00000022415.13",400.945526730355,1.83320403145807,0.512594269416823,3.57632564551239,0.000348457537745482,0.0535880040739697,"Syngr1","20972"
"ENSMUSG00000025911.15",70.5000876886699,2.20723817911149,0.619309175748775,3.56403274090495,0.000365200372370639,0.0556868669497026,"Adhfe1","76187"
"ENSMUSG00000031448.13",47.1342635723829,3.11457820931738,0.880602424257409,3.53687217241519,0.0004048955823971,0.0604924902478399,"Adprhl1","234072"
"ENSMUSG00000025176.15",162.534283223671,2.42882542772294,0.687137951373669,3.53469841516895,0.000408240809180997,0.0604924902478399,"Hoga1","67432"
"ENSMUSG00000029644.8",1525.15787127764,-1.4594841411868,0.412948551088779,-3.53430018664246,0.0004088564399457,0.0604924902478399,"Pdx1","18609"
"ENSMUSG00000022186.15",6285.38221131302,-1.2626871645876,0.357924628597846,-3.52780184346108,0.000419025712904899,0.0604924902478399,"Oxct1","67041"
"ENSMUSG00000030621.18",194.646148122134,1.97733891231973,0.560582207989405,3.52729516588066,0.000419828459978577,0.0604924902478399,"Me3","109264"
